GEO_ID,Name,Population,Margin_Of_Error
1500000US060855033292,Block Group 2; Census Tract 5033.29; Santa Clara County; California,1265,385
1500000US060855033301,Block Group 1; Census Tract 5033.30; Santa Clara County; California,2467,741
1500000US060855033302,Block Group 2; Census Tract 5033.30; Santa Clara County; California,1543,329
1500000US060855033303,Block Group 3; Census Tract 5033.30; Santa Clara County; California,1362,411
1500000US060855033304,Block Group 4; Census Tract 5033.30; Santa Clara County; California,1513,300
1500000US060855033311,Block Group 1; Census Tract 5033.31; Santa Clara County; California,2503,930
1500000US060855033312,Block Group 2; Census Tract 5033.31; Santa Clara County; California,1050,315
1500000US060855033321,Block Group 1; Census Tract 5033.32; Santa Clara County; California,1380,270
1500000US060855033322,Block Group 2; Census Tract 5033.32; Santa Clara County; California,849,406
1500000US060855033323,Block Group 3; Census Tract 5033.32; Santa Clara County; California,1073,658
1500000US060855033324,Block Group 4; Census Tract 5033.32; Santa Clara County; California,2339,431
1500000US060855033331,Block Group 1; Census Tract 5033.33; Santa Clara County; California,1601,369
1500000US060855033332,Block Group 2; Census Tract 5033.33; Santa Clara County; California,2906,612
1500000US060855033361,Block Group 1; Census Tract 5033.36; Santa Clara County; California,1141,284
1500000US060855033362,Block Group 2; Census Tract 5033.36; Santa Clara County; California,1789,313
1500000US060855033371,Block Group 1; Census Tract 5033.37; Santa Clara County; California,2675,633
1500000US060855033372,Block Group 2; Census Tract 5033.37; Santa Clara County; California,1529,378
1500000US060855033381,Block Group 1; Census Tract 5033.38; Santa Clara County; California,2168,504
1500000US060855033382,Block Group 2; Census Tract 5033.38; Santa Clara County; California,1932,381
1500000US060855033391,Block Group 1; Census Tract 5033.39; Santa Clara County; California,1745,428
1500000US060855033392,Block Group 2; Census Tract 5033.39; Santa Clara County; California,2193,539
1500000US060855034011,Block Group 1; Census Tract 5034.01; Santa Clara County; California,1134,373
1500000US060855034012,Block Group 2; Census Tract 5034.01; Santa Clara County; California,1105,291
1500000US060855034013,Block Group 3; Census Tract 5034.01; Santa Clara County; California,1964,456
1500000US060855034021,Block Group 1; Census Tract 5034.02; Santa Clara County; California,2251,966
1500000US060855034022,Block Group 2; Census Tract 5034.02; Santa Clara County; California,1514,521
1500000US060855034023,Block Group 3; Census Tract 5034.02; Santa Clara County; California,829,468
1500000US060855035041,Block Group 1; Census Tract 5035.04; Santa Clara County; California,1075,775
1500000US060855035042,Block Group 2; Census Tract 5035.04; Santa Clara County; California,1125,381
1500000US060855035043,Block Group 3; Census Tract 5035.04; Santa Clara County; California,1605,702
1500000US060855035044,Block Group 4; Census Tract 5035.04; Santa Clara County; California,1745,498
1500000US060855035061,Block Group 1; Census Tract 5035.06; Santa Clara County; California,2165,536
1500000US060855035062,Block Group 2; Census Tract 5035.06; Santa Clara County; California,1986,665
1500000US060855035063,Block Group 3; Census Tract 5035.06; Santa Clara County; California,2585,1040
1500000US060855035071,Block Group 1; Census Tract 5035.07; Santa Clara County; California,2385,477
1500000US060855035081,Block Group 1; Census Tract 5035.08; Santa Clara County; California,2436,660
1500000US060855035082,Block Group 2; Census Tract 5035.08; Santa Clara County; California,1376,441
1500000US060855035083,Block Group 3; Census Tract 5035.08; Santa Clara County; California,2108,862
