Name,OriginID,DestinationID,DestinationRank,Total_Length,Total_WalkTime,Total_PublicTransitTime,Shape_Length
Block Group 1; Census Tract 5086.02; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,151,1,1,,,244.833,16747.615
Block Group 2; Census Tract 5086.02; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,152,1,1,,,244.833,17499.597
Block Group 3; Census Tract 5086.02; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,153,1,1,,,244.833,16694.5
Block Group 2; Census Tract 5130; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,154,1,1,,,334.833,32752.479
Block Group 3; Census Tract 5130; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,155,1,1,,,334.833,33149.49
Block Group 3; Census Tract 5117.01; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,156,1,1,,,334.833,29895.905
Block Group 1; Census Tract 5088; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,157,1,1,,,244.833,17508.622
Block Group 2; Census Tract 5088; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,158,1,1,,,244.833,16782.609
Block Group 1; Census Tract 5089; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,159,1,1,,,274.833,15697.793
Block Group 2; Census Tract 5089; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,160,1,1,,,289.833,15057.213
Block Group 1; Census Tract 5120.53; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,161,1,1,,,79.667,12946.124
Block Group 1; Census Tract 5091.02; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,162,1,1,,,229.833,18899.19
Block Group 2; Census Tract 5091.02; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,163,1,1,,,214.833,19443.865
Block Group 2; Census Tract 5117.02; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,164,1,1,,,289.833,23146.245
Block Group 2; Census Tract 5120.22; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,165,1,1,,,79.667,14241.935
Block Group 1; Census Tract 5091.06; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,166,1,1,,,229.833,19636.591
Block Group 2; Census Tract 5091.06; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,167,1,1,,,244.833,19592.01
Block Group 2; Census Tract 5091.07; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,168,1,1,,,244.833,20342.641
Block Group 2; Census Tract 5091.08; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,169,1,1,,,214.833,22419.183
Block Group 1; Census Tract 5091.08; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,170,1,1,,,214.833,22598.871
Block Group 2; Census Tract 5120.53; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,171,1,1,,,79.667,13596.695
Block Group 1; Census Tract 5120.52; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,172,1,1,,,109.667,12480.232
Block Group 3; Census Tract 5091.08; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,173,1,1,,,214.833,21890.174
